source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,15,1080p,60,8,2.0,0.2,125,encoded,600,150,450,59.79157959886543,85.44089111328094,88.65760986328132,88.65760986328144,0,308352000,15000000,323352000,538920.0,30.837249755859375,0.23922003739275555,0.0161876651280689,0.6778571379123386,1,1530.0,1.53,3200.0,2.0915032679738563,HEADROOM
360p,15,1080p,60,8,2.0,0.3,125,encoded,600,150,450,59.9597004890224,57.30417236328094,60.52089111328132,60.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1935004151966487,0.01623318131428027,0.7554922261616843,1,1530.0,1.53,4800.0,3.1372549019607843,HEADROOM
360p,15,1080p,60,8,2.0,0.4,125,encoded,600,150,450,60.034693452321385,44.80417236328094,48.02089111328132,48.020891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1937424305739243,0.016253484523946076,0.5695791541289,1,1530.0,1.53,6400.0,4.183006535947713,HEADROOM
360p,15,1080p,60,8,2.0,0.5,125,encoded,600,150,450,60.079779341514524,37.30417236328094,40.52089111328132,40.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1938879306048989,0.016265690845992695,0.45780791858234043,1,1530.0,1.53,8000.0,5.228758169934641,HEADROOM
360p,15,1080p,60,8,2.0,0.6,125,encoded,600,150,450,60.10987424135342,32.30417236328094,35.52089111328132,35.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.19398505209761205,0.016273838584586038,0.38320044828862715,1,1530.0,1.53,9600.0,6.2745098039215685,HEADROOM
360p,15,1080p,60,8,2.0,0.7,125,encoded,600,150,450,60.13427416236017,28.732743791852045,31.949462541852427,31.94946254185288,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.19374140315461924,0.01628044449386388,0.32987944683351916,1,1530.0,1.53,11200.0,7.3202614379084965,HEADROOM
360p,15,1080p,60,16,2.0,0.2,125,encoded,600,150,450,59.79157959886543,85.44089111328094,88.65760986328132,88.65760986328144,0,308352000,15000000,323352000,538920.0,30.837249755859375,0.23922003739275555,0.0161876651280689,0.6778571379123386,1,1530.0,1.53,6400.0,4.183006535947713,HEADROOM
360p,15,1080p,60,16,2.0,0.3,125,encoded,600,150,450,59.9597004890224,57.30417236328094,60.52089111328132,60.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1935004151966487,0.01623318131428027,0.7554922261616843,1,1530.0,1.53,9600.0,6.2745098039215685,HEADROOM
360p,15,1080p,60,16,2.0,0.4,125,encoded,600,150,450,60.034693452321385,44.80417236328094,48.02089111328132,48.020891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1937424305739243,0.016253484523946076,0.5695791541289,1,1530.0,1.53,12800.0,8.366013071895425,HEADROOM
360p,15,1080p,60,16,2.0,0.5,125,encoded,600,150,450,60.079779341514524,37.30417236328094,40.52089111328132,40.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.1938879306048989,0.016265690845992695,0.45780791858234043,1,1530.0,1.53,16000.0,10.457516339869281,HEADROOM
360p,15,1080p,60,16,2.0,0.6,125,encoded,600,150,450,60.10987424135342,32.30417236328094,35.52089111328132,35.520891113281436,0,247503872,15000000,262503872,437506.4533333333,25.034320068359374,0.19398505209761205,0.016273838584586038,0.38320044828862715,1,1530.0,1.53,19200.0,12.549019607843137,HEADROOM
360p,15,1080p,60,16,2.0,0.7,125,encoded,600,150,450,60.13427416236017,28.732743791852045,31.949462541852427,31.94946254185288,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.19374140315461924,0.01628044449386388,0.32987944683351916,1,1530.0,1.53,22400.0,14.640522875816993,HEADROOM
