source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,4,2.0,0.4,1600,encoded,600,50,550,59.824445085338176,77.27006961822462,115.3700696182259,169.3951257705703,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.006458171533812503,0.005677409306376093,0.5713832750100658,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,1600,raw,600,50,550,59.803885465884996,82.32688476562453,120.4268847656258,171.2341674804702,0,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.006455952080729251,0.11565729796045583,0.5711869100846684,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,8,2.0,0.4,12.5,encoded,600,50,550,59.6290772666314,165.87609863281205,197.32328613281243,235.4232861328128,251,102372864,15000000,117372864,195621.44,11.193548583984375,0.7781783098138616,0.11850376518171113,0.7550531908887227,1,1710.0,1.71,6400.0,3.742690058479532,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,8,2.0,0.4,12.5,raw,600,50,550,4.211180609506578,66381.14578125041,125756.31906250061,131253.5515625003,600,102372864,1866240000,1968612864,3281021.44,187.741552734375,0.05495723830126385,0.9996697929937803,0.053324074467877236,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT
360p,5,1080p,60,8,2.0,0.4,25,encoded,600,50,550,59.99663501783055,117.95164306640572,140.2880493164066,169.19726806640756,2,123340800,15000000,138340800,230568.0,13.193206787109375,0.47284929218870797,0.062016980688731446,0.5692180747316682,1,1710.0,1.71,6400.0,3.742690058479532,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,8,2.0,0.4,25,raw,600,50,550,8.406359200576162,30773.566718750277,58212.56718750074,60862.14343750078,599,123340800,1866240000,1989580800,3315968.0,189.7412109375,0.06625273228565483,0.9981067302887954,0.07975533291546646,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT
360p,5,1080p,60,8,2.0,0.4,50,encoded,600,50,550,60.227998964368076,85.94402465820258,102.03121215820283,131.96941528320315,0,163220992,15000000,178220992,297034.9866666667,16.996478271484374,0.3156502607863944,0.033537187787579505,0.38783819933104763,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,50,raw,600,50,550,16.74559481835452,12967.873359375033,24448.1335937505,25673.88171875054,599,163220992,1866240000,2029460992,3382434.986666667,193.544482421875,0.08776236073464835,0.9947916839282932,0.10783325783279375,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT
360p,5,1080p,60,8,2.0,0.4,100,encoded,600,50,550,60.34623830655682,66.42470764160089,88.521113891602,108.52560607910164,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.16090312387738387,0.019215363455698298,0.38093562931013936,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,100,raw,600,50,550,33.22588566453577,4065.026679687482,7595.659882812513,8079.750859375054,599,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08859125186657597,0.9882403726698394,0.2097384032573817,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT
